station,YYYY-MM-DD,radiation,metadata,,,,,,,,,,
BANKSTOWN,24/02/2011,27,,,,,,,,,,,
BANKSTOWN,25/02/2011,20.2,,,,,,,,,,,
BANKSTOWN,26/02/2011,25.4,,,,,,,,,,,
BANKSTOWN,27/02/2011,9.4,,,,,,,,,,,
BANKSTOWN,28/02/2011,14.6,,,,,,,,,,,
BANKSTOWN,1/03/2011,10.4,,,,,,,,,,,
BANKSTOWN,2/03/2011,5.2,,,,,,,,,,,
BANKSTOWN,3/03/2011,23.8,,,,,,,,,,,
BANKSTOWN,4/03/2011,24.8,,,,,,,,,,,
BANKSTOWN,5/03/2011,11.4,,,,,,,,,,,
BANKSTOWN,6/03/2011,19.8,,,,,,,,,,,
BANKSTOWN,7/03/2011,15.7,,,,,,,,,,,
BANKSTOWN,8/03/2011,24.1,,,,,,,,,,,
BANKSTOWN,9/03/2011,12.6,,,,,,,,,,,
BANKSTOWN,10/03/2011,11.2,,,,,,,,,,,
BANKSTOWN,11/03/2011,11.1,,,,,,,,,,,
BANKSTOWN,12/03/2011,18,,,,,,,,,,,
BANKSTOWN,13/03/2011,21.8,,,,,,,,,,,
BANKSTOWN,14/03/2011,6.8,,,,,,,,,,,
BANKSTOWN,15/03/2011,10.4,,,,,,,,,,,
BANKSTOWN,16/03/2011,17.4,,,,,,,,,,,
BANKSTOWN,17/03/2011,12,,,,,,,,,,,
BANKSTOWN,18/03/2011,9.7,,,,,,,,,,,
BANKSTOWN,19/03/2011,5.6,,,,,,,,,,,
BANKSTOWN,20/03/2011,12.6,,,,,,,,,,,
BANKSTOWN,21/03/2011,4.6,,,,,,,,,,,
BANKSTOWN,22/03/2011,18.8,,,,,,,,,,,
